    40/299    0.895G   0.03323   0.01973  0.005324   0.05828       192       320    0.8792    0.5308    0.5965    0.3416   0.03186   0.01177  0.007299
    41/299    0.895G   0.03311    0.0195  0.005085    0.0577        55       320    0.5873    0.5978    0.6228    0.3496   0.03297   0.01206  0.007733
    42/299    0.895G   0.03277   0.01897  0.005264   0.05701        82       320    0.7008    0.6272    0.6659    0.3887   0.03301   0.01181  0.008258
    43/299    0.895G   0.03373   0.01989  0.004949   0.05857        76       320    0.7771    0.6427    0.6887    0.3729   0.03264   0.01121  0.005527
    44/299    0.895G    0.0331    0.0206   0.00492   0.05862       100       320    0.9049    0.6028    0.6965    0.4193    0.0305   0.01121  0.007311
    45/299    0.895G   0.03153   0.01922  0.004771   0.05552        83       320    0.8923    0.6239    0.6962    0.4503   0.03043   0.01166  0.006121
    46/299    0.895G   0.03151   0.01842  0.004347   0.05428       132       320    0.7037    0.6762    0.6815    0.4229   0.03051   0.01131  0.006289
    47/299    0.895G   0.03199   0.01949  0.003945   0.05543        88       320    0.5867    0.7569    0.6946    0.4333    0.0324   0.01145  0.005942
    48/299    0.895G   0.03245   0.01936  0.004222   0.05603        81       320    0.6766    0.6868    0.6974    0.4274   0.03073   0.01152  0.006621
    49/299    0.895G   0.03051    0.0187  0.004768   0.05398        69       320    0.8332    0.6042    0.6991    0.4134   0.03016   0.01182  0.007104
    50/299    0.895G    0.0302    0.0194   0.00432   0.05393       110       320    0.9185    0.6517     0.742    0.4438   0.03066   0.01126  0.004725
    51/299    0.895G    0.0312   0.01966  0.003742   0.05461        69       320    0.8833    0.6638    0.7195    0.4466   0.03028   0.01115  0.005147
    52/299    0.895G   0.03157   0.01898  0.004372   0.05492       146       320    0.7123    0.7979    0.7836    0.4766   0.03061   0.01136  0.005807
    53/299    0.895G   0.03094   0.01837   0.00342   0.05273        77       320    0.8951    0.6555    0.7345    0.4752   0.02956   0.01129  0.004763
    54/299    0.895G   0.02955   0.01922  0.003691   0.05246       112       320    0.7495    0.7052    0.7047    0.4211   0.03156   0.01208   0.00697
    55/299    0.895G   0.02976   0.01821  0.003655   0.05163        79       320    0.9043     0.618    0.7206    0.4443   0.02959   0.01097  0.007021
    56/299    0.895G   0.03006   0.01871  0.003883   0.05266        80       320    0.8737    0.6836    0.7818    0.4863   0.03041   0.01161  0.004979
    57/299    0.895G   0.03061   0.01949  0.003406    0.0535       120       320    0.8367    0.7011    0.7587    0.4974   0.02886   0.01127  0.006079
    58/299    0.895G   0.03003   0.01817  0.004073   0.05228        84       320    0.8111    0.6826    0.7225    0.4651   0.02946   0.01127  0.005842
    59/299    0.895G   0.03058   0.01922  0.003464   0.05326        87       320     0.921    0.6841    0.7467    0.4848   0.03056    0.0115  0.005708
    60/299    0.895G   0.02981   0.01773  0.003529   0.05108        72       320    0.7673     0.713    0.7532    0.4768   0.03016   0.01119  0.004932
    61/299    0.895G   0.02916   0.01807  0.003472    0.0507        63       320    0.8512    0.6708    0.7428    0.4715   0.03054   0.01137  0.005504
    62/299    0.895G   0.02861   0.01874  0.002982   0.05033        81       320    0.7967    0.7186    0.7746    0.5016   0.02831   0.01137  0.004413
    63/299    0.895G   0.02913    0.0186  0.002819   0.05055        91       320    0.8296    0.7685    0.8119    0.5134   0.02998   0.01171  0.004293
    64/299    0.895G   0.02866   0.01811  0.003008   0.04978        76       320    0.7847    0.6934    0.7459    0.4473   0.02965    0.0116  0.005125
    65/299    0.895G   0.02936   0.01778   0.00339   0.05054        81       320    0.8564     0.726      0.79    0.5065   0.02945   0.01143  0.004407
    66/299    0.895G    0.0297   0.01881   0.00299    0.0515        66       320    0.8823    0.6973    0.7643    0.5023    0.0285   0.01108  0.004855
